구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년01월01일,1945.47,1838.68,1858.32,1780.52,1833.35,1801.64,1825.85,1848.21,1851.05,1816.43,1844.40,1848.07,1823.35,1842.88,1842.83,1964.17,1832.71
2022년01월02일,1945.95,1837.07,1858.32,1780.52,1833.35,1801.11,1825.85,1848.21,1858.15,1815.21,1846.84,1848.07,1822.96,1844.83,1838.82,1964.17,1829.86
2022년01월03일,1946.46,1838.16,1855.30,1780.52,1832.42,1801.64,1825.85,1847.07,1856.87,1816.00,1847.57,1848.07,1822.96,1843.70,1838.74,1964.17,1829.86
2022년01월04일,1945.77,1836.60,1854.02,1780.71,1831.37,1801.64,1825.85,1847.70,1855.03,1811.14,1849.22,1847.16,1824.52,1843.22,1838.74,1964.17,1829.86
2022년01월05일,1945.82,1836.34,1852.90,1780.45,1831.86,1801.90,1824.35,1848.19,1855.03,1809.51,1849.15,1846.07,1825.63,1842.49,1838.91,1964.17,1871.75
2022년01월06일,1944.97,1838.29,1851.48,1780.97,1831.86,1801.90,1824.35,1847.67,1851.41,1818.63,1847.87,1847.47,1824.52,1840.64,1839.26,1964.17,1871.75
2022년01월07일,1946.03,1838.55,1852.11,1787.76,1833.02,1801.90,1824.35,1848.08,1853.80,1817.47,1848.62,1849.91,1824.15,1840.88,1840.29,1964.17,1871.75
2022년01월08일,1944.27,1840.09,1852.59,1787.29,1833.02,1801.38,1823.85,1848.98,1857.67,1817.50,1848.83,1851.05,1824.15,1840.88,1841.50,1964.17,1871.75
2022년01월09일,1944.77,1840.09,1853.06,1787.44,1833.02,1802.41,1823.85,1848.96,1856.38,1817.50,1848.15,1851.05,1823.35,1840.74,1840.50,1964.17,1871.75
2022년01월10일,1944.96,1840.22,1853.22,1786.46,1833.02,1802.41,1823.85,1848.73,1857.69,1817.50,1848.37,1851.05,1824.15,1842.59,1843.20,1964.17,1871.75
2022년01월11일,1945.62,1842.26,1853.22,1788.00,1833.02,1804.08,1823.85,1851.54,1855.90,1817.50,1847.66,1851.05,1824.15,1842.59,1843.63,1965.83,1873.00
2022년01월12일,1946.08,1841.87,1854.17,1790.51,1835.91,1810.18,1832.45,1849.67,1856.67,1815.63,1850.30,1851.05,1824.15,1841.21,1843.88,1965.83,1873.00
2022년01월13일,1946.34,1843.79,1856.56,1791.17,1831.86,1810.69,1832.95,1850.75,1859.00,1815.63,1852.02,1849.47,1826.00,1843.83,1844.22,1977.50,1873.00
2022년01월14일,1946.59,1842.62,1856.87,1785.37,1832.67,1811.33,1843.45,1853.06,1859.17,1817.34,1853.91,1852.18,1827.48,1844.57,1843.77,1977.50,1878.00
2022년01월15일,1948.59,1846.78,1858.14,1796.86,1832.27,1809.63,1844.75,1854.26,1854.15,1819.71,1856.81,1853.70,1833.15,1847.67,1844.32,1977.50,1878.00
2022년01월16일,1948.99,1847.43,1858.62,1796.71,1832.27,1809.95,1845.25,1855.01,1854.44,1820.24,1856.81,1854.61,1830.68,1847.90,1845.63,1977.50,1878.00
2022년01월17일,1947.57,1848.86,1858.94,1798.24,1832.50,1813.79,1846.25,1855.97,1855.12,1820.24,1858.09,1858.14,1832.85,1848.38,1845.63,1977.50,1880.50
2022년01월18일,1951.12,1850.27,1860.70,1800.30,1835.82,1818.41,1846.25,1857.48,1855.86,1820.24,1859.89,1858.82,1832.85,1852.37,1845.66,1977.50,1880.50
2022년01월19일,1953.37,1852.22,1861.63,1796.47,1835.82,1820.49,1846.75,1858.99,1860.13,1820.24,1860.51,1860.93,1833.96,1854.86,1847.31,1977.50,1880.50
2022년01월20일,1959.97,1856.44,1864.97,1800.27,1838.77,1818.69,1848.65,1861.50,1860.80,1824.97,1862.43,1862.14,1839.37,1859.72,1853.88,1983.33,1886.75
2022년01월21일,1962.05,1857.91,1866.24,1811.08,1839.44,1821.95,1849.15,1865.27,1867.13,1826.29,1864.55,1868.20,1839.37,1859.71,1856.34,1983.33,1886.75
2022년01월22일,1962.96,1859.08,1866.84,1816.41,1840.11,1826.18,1848.15,1869.85,1866.30,1827.34,1871.53,1869.34,1839.37,1876.35,1853.63,1983.33,1888.00
2022년01월23일,1963.28,1859.34,1867.48,1818.30,1839.89,1827.21,1848.65,1870.53,1866.30,1828.21,1872.68,1870.25,1839.37,1877.98,1853.80,1983.33,1893.00
2022년01월24일,1963.84,1860.12,1867.48,1819.70,1840.11,1827.74,1850.15,1871.20,1870.63,1829.27,1874.38,1872.98,1840.11,1878.44,1854.39,1986.67,1893.00
2022년01월25일,1968.37,1861.68,1867.95,1815.87,1844.53,1829.47,1853.65,1873.66,1871.13,1829.27,1888.88,1877.56,1840.11,1881.79,1855.58,1986.67,1893.00
2022년01월26일,1970.46,1865.05,1870.22,1824.58,1844.98,1830.31,1858.65,1876.47,1874.85,1830.08,1878.35,1876.87,1840.11,1883.53,1859.22,1986.67,1893.00
2022년01월27일,1974.10,1870.44,1874.75,1826.37,1846.56,1837.62,1863.35,1878.43,1876.02,1841.05,1879.81,1875.63,1842.89,1889.91,1860.83,1986.67,1893.00
2022년01월28일,1975.51,1871.94,1877.54,1834.26,1849.71,1839.10,1863.35,1880.35,1880.59,1841.97,1883.15,1877.80,1844.00,1892.23,1861.41,1986.67,1900.50
2022년01월29일,1975.23,1874.79,1879.05,1835.24,1850.87,1842.44,1863.85,1882.19,1882.34,1843.73,1885.65,1879.54,1844.74,1894.51,1863.61,1986.67,1900.50
2022년01월30일,1975.52,1874.79,1879.05,1834.71,1850.73,1842.44,1863.85,1882.74,1883.51,1846.43,1887.23,1880.63,1844.74,1895.12,1864.05,1986.67,1900.50
2022년01월31일,1977.61,1877.03,1879.05,1834.77,1852.29,1843.59,1863.85,1883.74,1884.57,1845.76,1887.23,1887.09,1844.74,1895.35,1865.93,1986.67,1903.00
2022년02월01일,1984.09,1877.03,1879.37,1831.61,1856.82,1849.35,1863.85,1888.22,1889.39,1853.46,1888.85,1890.56,1846.65,1897.47,1867.49,1986.67,1906.75
2022년02월02일,1984.77,1876.61,1879.68,1832.10,1856.82,1853.15,1865.35,1889.32,1891.40,1852.70,1890.17,1891.67,1845.85,1898.95,1867.40,1986.67,1906.75
2022년02월03일,1987.09,1874.53,1881.27,1833.70,1857.04,1855.18,1867.40,1891.05,1892.07,1854.44,1892.04,1891.56,1846.96,1885.50,1871.34,1986.67,1906.75
2022년02월04일,1991.66,1879.08,1885.73,1844.18,1859.80,1858.00,1870.40,1895.12,1897.05,1858.89,1897.81,1895.20,1846.96,1888.45,1873.54,1986.67,1911.75
2022년02월05일,1991.88,1890.70,1893.97,1855.61,1861.20,1864.03,1879.85,1898.49,1895.65,1866.62,1901.25,1897.87,1848.63,1902.32,1880.24,2011.67,1916.75
2022년02월06일,1994.46,1893.66,1895.40,1858.23,1862.76,1864.03,1882.00,1899.87,1896.82,1866.08,1902.50,1900.53,1850.11,1905.12,1881.59,2017.50,1916.75
2022년02월07일,1995.36,1894.06,1896.75,1860.42,1863.16,1870.13,1884.30,1902.46,1900.32,1866.35,1905.27,1902.84,1852.33,1907.07,1882.68,2025.83,1926.75
2022년02월08일,2000.18,1894.84,1899.45,1864.22,1866.27,1875.54,1884.80,1905.84,1903.15,1871.62,1909.75,1906.93,1860.46,1909.36,1887.10,2025.83,1926.75
2022년02월09일,2014.43,1899.52,1900.27,1874.59,1871.67,1886.82,1887.80,1915.72,1910.38,1879.51,1912.53,1908.75,1862.25,1910.07,1894.08,2028.33,1930.50
2022년02월10일,2016.81,1908.22,1906.44,1876.22,1873.87,1888.62,1897.70,1919.58,1912.47,1882.62,1919.46,1909.20,1872.07,1915.74,1898.47,2028.33,1934.25
2022년02월11일,2017.92,1909.45,1910.65,1871.50,1877.44,1889.13,1900.40,1921.73,1913.48,1883.43,1920.52,1909.89,1873.14,1918.43,1900.44,2076.67,1939.25
2022년02월12일,2019.05,1912.96,1913.75,1877.16,1878.42,1890.21,1901.40,1924.09,1913.55,1886.95,1922.60,1911.73,1873.14,1918.81,1902.34,2076.67,1941.75
2022년02월13일,2019.50,1913.75,1916.05,1878.16,1881.42,1893.89,1902.90,1925.30,1915.88,1888.97,1923.33,1914.27,1873.14,1919.28,1903.24,2076.67,1941.75
2022년02월14일,2022.23,1915.01,1917.95,1879.85,1884.04,1895.62,1905.40,1927.55,1916.70,1890.05,1924.38,1917.20,1875.56,1920.56,1903.24,2076.67,1945.50
2022년02월15일,2023.64,1915.93,1920.40,1892.24,1887.49,1899.95,1907.90,1931.90,1920.48,1892.22,1925.90,1922.00,1883.33,1925.79,1904.93,2076.67,1945.50
2022년02월16일,2029.85,1919.36,1925.90,1898.92,1889.62,1909.70,1913.40,1936.34,1922.77,1895.73,1927.46,1922.45,1884.44,1929.28,1907.59,2093.33,1914.14
2022년02월17일,2031.49,1923.31,1926.70,1901.54,1890.29,1912.14,1915.40,1939.46,1924.07,1899.11,1931.00,1923.45,1885.93,1930.91,1908.78,2093.33,1949.25
2022년02월18일,2034.11,1923.87,1928.35,1903.89,1890.27,1916.61,1916.30,1943.88,1930.16,1899.38,1934.29,1924.14,1889.63,1935.79,1912.76,2093.33,1951.75
2022년02월19일,2033.92,1929.38,1931.59,1901.84,1894.11,1920.53,1918.30,1945.89,1933.44,1906.68,1938.52,1925.27,1893.11,1938.21,1917.76,2093.33,1955.50
2022년02월20일,2035.56,1932.23,1932.60,1905.52,1894.56,1921.58,1921.80,1947.07,1933.44,1912.35,1939.79,1924.82,1893.11,1938.21,1919.12,2093.33,1955.50
2022년02월21일,2037.61,1931.39,1934.21,1908.74,1896.71,1922.63,1926.35,1949.29,1935.41,1912.89,1939.16,1926.18,1895.33,1938.91,1918.28,2093.33,1959.25
2022년02월22일,2039.91,1934.87,1935.40,1916.05,1897.96,1922.05,1929.85,1951.45,1937.05,1912.35,1940.69,1927.32,1898.65,1940.88,1920.71,2093.33,1961.75
2022년02월23일,2043.34,1936.82,1935.70,1919.32,1899.40,1923.46,1930.35,1954.48,1941.69,1916.81,1941.02,1930.05,1898.70,1941.84,1923.79,2113.33,1961.75
2022년02월24일,2044.55,1941.86,1937.76,1922.00,1899.40,1924.23,1931.35,1956.22,1944.92,1917.89,1944.27,1931.64,1900.19,1944.16,1924.23,2113.33,1971.86
2022년02월25일,2045.84,1945.75,1943.00,1925.09,1900.87,1929.13,1935.80,1958.26,1948.74,1918.97,1947.16,1935.95,1906.85,1950.67,1938.05,2126.67,1965.50
