,date_oil,area_unique,oil_price,oil_unique
0,2022-01-01,a-1,1945.47,o-02
1,2022-01-02,a-1,1945.95,o-02
2,2022-01-03,a-1,1946.46,o-02
3,2022-01-04,a-1,1945.77,o-02
4,2022-01-05,a-1,1945.82,o-02
5,2022-01-06,a-1,1944.97,o-02
6,2022-01-07,a-1,1946.03,o-02
7,2022-01-08,a-1,1944.27,o-02
8,2022-01-09,a-1,1944.77,o-02
9,2022-01-10,a-1,1944.96,o-02
10,2022-01-11,a-1,1945.62,o-02
11,2022-01-12,a-1,1946.08,o-02
12,2022-01-13,a-1,1946.34,o-02
13,2022-01-14,a-1,1946.59,o-02
14,2022-01-15,a-1,1948.59,o-02
15,2022-01-16,a-1,1948.99,o-02
16,2022-01-17,a-1,1947.57,o-02
17,2022-01-18,a-1,1951.12,o-02
18,2022-01-19,a-1,1953.37,o-02
19,2022-01-20,a-1,1959.97,o-02
20,2022-01-21,a-1,1962.05,o-02
21,2022-01-22,a-1,1962.96,o-02
22,2022-01-23,a-1,1963.28,o-02
23,2022-01-24,a-1,1963.84,o-02
24,2022-01-25,a-1,1968.37,o-02
25,2022-01-26,a-1,1970.46,o-02
26,2022-01-27,a-1,1974.1,o-02
27,2022-01-28,a-1,1975.51,o-02
28,2022-01-29,a-1,1975.23,o-02
29,2022-01-30,a-1,1975.52,o-02
30,2022-01-31,a-1,1977.61,o-02
31,2022-02-01,a-1,1984.09,o-02
32,2022-02-02,a-1,1984.77,o-02
33,2022-02-03,a-1,1987.09,o-02
34,2022-02-04,a-1,1991.66,o-02
35,2022-02-05,a-1,1991.88,o-02
36,2022-02-06,a-1,1994.46,o-02
37,2022-02-07,a-1,1995.36,o-02
38,2022-02-08,a-1,2000.18,o-02
39,2022-02-09,a-1,2014.43,o-02
40,2022-02-10,a-1,2016.81,o-02
41,2022-02-11,a-1,2017.92,o-02
42,2022-02-12,a-1,2019.05,o-02
43,2022-02-13,a-1,2019.5,o-02
44,2022-02-14,a-1,2022.23,o-02
45,2022-02-15,a-1,2023.64,o-02
46,2022-02-16,a-1,2029.85,o-02
47,2022-02-17,a-1,2031.49,o-02
48,2022-02-18,a-1,2034.11,o-02
49,2022-02-19,a-1,2033.92,o-02
50,2022-02-20,a-1,2035.56,o-02
51,2022-02-21,a-1,2037.61,o-02
52,2022-02-22,a-1,2039.91,o-02
53,2022-02-23,a-1,2043.34,o-02
54,2022-02-24,a-1,2044.55,o-02
55,2022-02-25,a-1,2045.84,o-02
56,2022-02-26,a-1,2050.2,o-02
57,2022-02-27,a-1,2051.11,o-02
58,2022-02-28,a-1,2051.3,o-02
59,2022-03-01,a-1,2062.39,o-02
60,2022-03-02,a-1,2064.21,o-02
61,2022-03-03,a-1,2070.38,o-02
62,2022-03-04,a-1,2085.01,o-02
63,2022-03-05,a-1,2100.95,o-02
64,2022-03-06,a-1,2106.03,o-02
65,2022-03-07,a-1,2115.86,o-02
66,2022-03-08,a-1,2146.99,o-02
67,2022-03-09,a-1,2173.16,o-02
68,2022-03-10,a-1,2196.04,o-02
69,2022-03-11,a-1,2225.54,o-02
70,2022-03-12,a-1,2255.97,o-02
71,2022-03-13,a-1,2258.64,o-02
72,2022-03-14,a-1,2270.94,o-02
73,2022-03-15,a-1,2294.03,o-02
74,2022-03-16,a-1,2300.86,o-02
75,2022-03-17,a-1,2301.39,o-02
76,2022-03-18,a-1,2299.32,o-02
77,2022-03-19,a-1,2298.98,o-02
78,2022-03-20,a-1,2298.56,o-02
79,2022-03-21,a-1,2298.57,o-02
80,2022-03-22,a-1,2294.42,o-02
81,2022-03-23,a-1,2293.76,o-02
