,date_oil,area_unique,oil_price,oil_unique
0,2022-01-01,a-1,1688.61,o-01
1,2022-01-02,a-1,1688.62,o-01
2,2022-01-03,a-1,1691.48,o-01
3,2022-01-04,a-1,1690.51,o-01
4,2022-01-05,a-1,1690.66,o-01
5,2022-01-06,a-1,1690.64,o-01
6,2022-01-07,a-1,1690.6,o-01
7,2022-01-08,a-1,1687.25,o-01
8,2022-01-09,a-1,1687.25,o-01
9,2022-01-10,a-1,1690.55,o-01
10,2022-01-11,a-1,1690.34,o-01
11,2022-01-12,a-1,1691.01,o-01
12,2022-01-13,a-1,1694.73,o-01
13,2022-01-14,a-1,1696.63,o-01
14,2022-01-15,a-1,1695.75,o-01
15,2022-01-16,a-1,1696.44,o-01
16,2022-01-17,a-1,1701.11,o-01
17,2022-01-18,a-1,1703.55,o-01
18,2022-01-19,a-1,1705.75,o-01
19,2022-01-20,a-1,1712.12,o-01
20,2022-01-21,a-1,1716.05,o-01
21,2022-01-22,a-1,1714.97,o-01
22,2022-01-23,a-1,1716.05,o-01
23,2022-01-24,a-1,1721.41,o-01
24,2022-01-25,a-1,1723.97,o-01
25,2022-01-26,a-1,1727.38,o-01
26,2022-01-27,a-1,1729.69,o-01
27,2022-01-28,a-1,1731.91,o-01
28,2022-01-29,a-1,1730.46,o-01
29,2022-01-30,a-1,1731.16,o-01
30,2022-01-31,a-1,1735.64,o-01
31,2022-02-01,a-1,1740.65,o-01
32,2022-02-02,a-1,1741.44,o-01
33,2022-02-03,a-1,1744.06,o-01
34,2022-02-04,a-1,1748.01,o-01
35,2022-02-05,a-1,1749.63,o-01
36,2022-02-06,a-1,1751.6,o-01
37,2022-02-07,a-1,1756.89,o-01
38,2022-02-08,a-1,1761.23,o-01
39,2022-02-09,a-1,1770.57,o-01
40,2022-02-10,a-1,1773.08,o-01
41,2022-02-11,a-1,1775.83,o-01
42,2022-02-12,a-1,1775.89,o-01
43,2022-02-13,a-1,1776.92,o-01
44,2022-02-14,a-1,1782.67,o-01
45,2022-02-15,a-1,1785.84,o-01
46,2022-02-16,a-1,1790.13,o-01
47,2022-02-17,a-1,1792.97,o-01
48,2022-02-18,a-1,1796.43,o-01
49,2022-02-19,a-1,1796.01,o-01
50,2022-02-20,a-1,1796.87,o-01
51,2022-02-21,a-1,1801.7,o-01
52,2022-02-22,a-1,1804.97,o-01
53,2022-02-23,a-1,1807.99,o-01
54,2022-02-24,a-1,1810.54,o-01
55,2022-02-25,a-1,1814.06,o-01
56,2022-02-26,a-1,1815.12,o-01
57,2022-02-27,a-1,1816.31,o-01
58,2022-02-28,a-1,1820.53,o-01
59,2022-03-01,a-1,1827.78,o-01
60,2022-03-02,a-1,1831.46,o-01
61,2022-03-03,a-1,1838.42,o-01
62,2022-03-04,a-1,1852.99,o-01
63,2022-03-05,a-1,1871.08,o-01
64,2022-03-06,a-1,1881.63,o-01
65,2022-03-07,a-1,1899.26,o-01
66,2022-03-08,a-1,1931.48,o-01
67,2022-03-09,a-1,1960.83,o-01
68,2022-03-10,a-1,1986.22,o-01
69,2022-03-11,a-1,2020.22,o-01
70,2022-03-12,a-1,2045.34,o-01
71,2022-03-13,a-1,2054.23,o-01
72,2022-03-14,a-1,2067.11,o-01
73,2022-03-15,a-1,2086.11,o-01
74,2022-03-16,a-1,2090.91,o-01
75,2022-03-17,a-1,2088.23,o-01
76,2022-03-18,a-1,2082.39,o-01
77,2022-03-19,a-1,2077.96,o-01
78,2022-03-20,a-1,2077.64,o-01
79,2022-03-21,a-1,2081.35,o-01
80,2022-03-22,a-1,2080.19,o-01
81,2022-03-23,a-1,2078.05,o-01
82,2022-03-24,a-1,2076.02,o-01
83,2022-03-25,a-1,2073.66,o-01
84,2022-03-26,a-1,2066.69,o-01
85,2022-03-27,a-1,2066.41,o-01
86,2022-03-28,a-1,2071.55,o-01
87,2022-03-29,a-1,2070.1,o-01
88,2022-03-30,a-1,2068.86,o-01
89,2022-03-31,a-1,2065.75,o-01
90,2022-04-01,a-1,2063.49,o-01
91,2022-04-02,a-1,2054.99,o-01
92,2022-04-03,a-1,2052.74,o-01
93,2022-04-04,a-1,2054.64,o-01
94,2022-04-05,a-1,2049.23,o-01
95,2022-04-06,a-1,2047.07,o-01
96,2022-04-07,a-1,2044.61,o-01
97,2022-04-08,a-1,2040.29,o-01
98,2022-04-09,a-1,2034.9,o-01
99,2022-04-10,a-1,2034.43,o-01
100,2022-04-11,a-1,2036.92,o-01
101,2022-04-12,a-1,2036.12,o-01
102,2022-04-13,a-1,2033.09,o-01
103,2022-04-14,a-1,2032.81,o-01
104,2022-04-15,a-1,2030.77,o-01
105,2022-04-16,a-1,2025.44,o-01
106,2022-04-17,a-1,2025.22,o-01
107,2022-04-18,a-1,2029.94,o-01
108,2022-04-19,a-1,2029.27,o-01
109,2022-04-20,a-1,2029.51,o-01
110,2022-04-21,a-1,2027.56,o-01
111,2022-04-22,a-1,2028.09,o-01
112,2022-04-23,a-1,2024.49,o-01
113,2022-04-24,a-1,2024.73,o-01
114,2022-04-25,a-1,2030.22,o-01
115,2022-04-26,a-1,2033.69,o-01
116,2022-04-27,a-1,2034.66,o-01
117,2022-04-28,a-1,2037.48,o-01
118,2022-04-29,a-1,2038.91,o-01
119,2022-04-30,a-1,2039.51,o-01
120,2022-05-01,a-1,2003.12,o-01
121,2022-05-02,a-1,1993.57,o-01
122,2022-05-03,a-1,1984.0,o-01
123,2022-05-04,a-1,1980.36,o-01
124,2022-05-05,a-1,1979.04,o-01
125,2022-05-06,a-1,1979.03,o-01
126,2022-05-07,a-1,1980.25,o-01
